ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"1.2.209.194","elite","AS23969","TH","TOT Public Company Limited","151","TOT Public Company Limited","4145","socks4","3888","2","2024-01-07T11:26:15.410Z","74","4138","5570"
"146.56.150.146","elite","AS31898","KR","Oracle Corporation","288","Oracle Cloud Infrastructure (ap-seoul-1)","32241","socks5","4713","1","2024-01-07T11:26:11.110Z","96","5350","5580"
"109.205.243.10","elite","AS56656","SK","Detronics s.r.o","95","Detronics s.r.o.","5678","socks4","4890","1","2024-01-07T11:26:11.204Z","100","5601","5612"
"168.119.178.134","elite","AS24940","DE","Hetzner Online GmbH","23","Hetzner","1080","socks5","4806","1","2024-01-07T11:26:11.205Z","95","5195","5484"
"212.83.162.168","elite","AS12876","FR","Online","1","Free SAS","2019","socks4","4890","1","2024-01-07T11:26:11.107Z","93","5201","5582"
"103.47.93.221","elite","AS134058","IN","Broban Internet Services Pvt.ltd","295","Broban  PVT Ltd.","1080","socks4","3904","2","2024-01-07T11:26:08.807Z","99","5474","5512"
"180.183.1.188","elite","AS45629","TH","Triple T Broadband Public Company Limited","194","Triple T Broadband Public Company Limited","4145","socks4","2695","1","2024-01-07T11:26:08.809Z","98","5341","5463"
"184.82.140.210","elite","AS133481","TH","AIS-Fibre","192","N/A","4145","socks4","5092","1","2024-01-07T11:26:08.806Z","96","5334","5558"
"83.142.126.147","elite","AS34169","PL","Media-Com Sp. z o.o.","30","Media-Com Sp. z o.o.","80","socks5","4783","1","2024-01-07T11:26:08.808Z","99","5549","5630"
"88.119.49.4","elite","AS8764","LT","Telia Lietuva, AB","99","Telia Lietuva, AB","4153","socks4","4704","1","2024-01-07T11:26:08.810Z","100","5595","5600"
"202.183.9.154","elite","AS131736","ID","BIGNET","890","N/A","5678","socks4","4693","1","2024-01-07T11:26:08.808Z","78","4308","5531"
"112.80.79.115","elite","AS4837","CN","China Unicom CHINA169 Jiangsu Province Network","175","N/A","7890","socks5","4188","2","2024-01-07T11:26:08.805Z","29","1575","5498"
"103.79.35.124","elite","AS134331","IN","Smartlink Solutions Pvt. Ltd.","532","SIS","55267","socks4","5095","1","2024-01-07T11:26:05.713Z","47","2601","5571"
"103.229.85.249","elite","AS133443","BD","Ashfakur Rahman Chowdhury","195","N/A","4145","socks4","3788","1","2024-01-07T11:26:05.716Z","99","5479","5551"
"92.222.237.74","elite","AS16276","FR","OVH SAS","6","LCC LCC","8888","socks5","4506","1","2024-01-07T11:26:05.716Z","100","5555","5555"
"103.76.172.230","elite","AS9341","ID","ICONPLN","293","N/A","4153","socks4","4490","1","2024-01-07T11:26:05.715Z","54","3026","5581"
"27.151.29.27","elite","AS133774","CN","Fuzhou","297","Chinanet FJ","2080","socks5","4604","1","2024-01-07T11:26:05.717Z","22","1207","5534"
"183.88.78.114","elite","AS45629","TH","Triple T Broadband Public Company Limited","152","Triple T Broadband Public Company Limited","8080","socks5","4796","1","2024-01-07T11:26:05.715Z","94","5123","5463"
"69.163.163.6","elite","AS26347","US","New Dream Network, LLC","194","New Dream Network, LLC","37884","socks5","5095","1","2024-01-07T11:26:02.506Z","100","5572","5577"
"190.182.229.11","elite","AS27983","AR","Red Intercable Digital S.A.","293","Radiodifusora Chajari SA","5678","socks4","2116","1","2024-01-07T11:26:02.505Z","10","536","5624"
